Canon,C,C,G,G,Am,Am,Em,Em,F,F,C,C,F,F,G,G_7,C,C,G,G,Am,Am,Em,Em,F,F,C,C,F,F,G,G_7,C
Lake Luise Verse 1,C,C,C,C,G/B,G/B,G_7/B,G/B,Am,Am,Am,Am_4,Em/G,Em/G,Em/G,Em/G,F,F,Bhdim/F,Bhdim/F,Em,Em,Am,Am,D,D,D,D,G_7_s4,G,G,G,C
Lake Luise Chorus 1,F,F,F_M7,F_M7,B,B,B_7,B,Em_(9),Em_(9),B/F#,B/F#,Em_(9)/G,Em_(9)/G,A,A_7,Dm_7,Dm,Dm_7,Dm_7,G,G,G_7,G,C,C,G/D,G_7/D,D#dim,D#dim,C/E,C/E,C
Lake Luise Verse 2,C,C,C,C,G/B,G/B,G_7/B,G/B,Am,Am,Am,Am_4,Em/G,Em/G,Em/G,Em/G,F,F,Bhdim/F,Bhdim/F,Em,Em,Am,Am,Dm,Dm,Dm,Dm,G_7_s4,G_7_s4,G_7,G_7,C
Lake Luise Chorus 2,F,F,F_M7,F_M7,B,B,B_7,B,Em_(9),Em_(9),B,B_7,Em_(9),Em_(9),G#dim,G#dim,Am,Am,Am,Am_7,D_7,D,D_7,D_7,G_s4,G_s4,G,G_s4,G_7,G_7,G,G,C
Kiss the Rain Verse 1,C,C_2,C,C,Em_7,Em,Em,Em,Am_7,Am_9,Am_7,Am_9,Em,Em,Em,Em,F,F_2,F,F_2,C_2/E,C_2/E,C/E,C/E,Dm,Dm,Dm_7,Dm,G_9_s4,G_9_s4,G,G,C
Kiss the Rain Verse 2,C,C,C_2,C,Em_7,Em,Em,Em,Am_7,Am_7,Am,Am,Em,Em,Em,Em,F,F_2,F,F,C_2/E,C_2/E,C/E,C/E,Dm_7,Dm_7,G_7_s4,G_7,C_2_s4,C_2_s4,C,C,C
Kiss the Rain Chorus,F,F_2,F,F_2,C/E,C/E,C/E,C/E,Dm,Dm_7,G_9_s4,G_9_s4,C,C,C_2,C,F#hdim,F#hdim,B/F#,B/F#,Em,Em,A_7,A,Dm_7,Dm_7,Dm_7,Dm_7,G_9_s4,G_9_s4,G,G,C
Hey Jude Verse,C,C,C,C,G,G,G,G,G_s4,G_s4,G_7,G_7,C,C,C,C,F,F,F,F,C,C,C,C,G,G,G_7,G_7,C,C,C,C,C
Hey Jude Chorus,C,C,G_6/B,G/B,Am_7,Am_7,Em/G,Em/G,D_7/F#,D_7/A,D_7,D_7,G,G,G,G,C,C,G_6,G,Am_7,Am_7,Em,Em,D_7/F#,D_7/A,D_7,D_7,G,G,G,G,C
Let It Be  Verse,C,C,G,G,Am,Am,F_M7,Dm_7,C,C,G,G,F,Dm,C,C,C,C,G,G,Am,Am,F_M7,Dm_7,C,C,G,G,F,Dm,C,C,C
Top of The World Verse,C,C/G,G,F,C,C/G,C,C/G,Em,Em/B,Dm,G_7,C,C/G,C,C/E,F,F/C,G_7,G_7/D,Em,Em/B,A_7,A_7/E,Dm,Dm,Dhdim,Dhdim,G_s4,G_s4/D,G,G/B,C
Top of The World Churus,C,C/G,C_s4,C/E,F_(11),F_(11)/C,F_s4_(11),F_6_(11)/D,C,C/G,Dm,G_9_s4,C,C/G,C,C/E,F,F/C,G,G/D,C,C/E,F,Dm_7,C,C,Dm,G,C,C,C,C,C
Yuju,C,C,C,C,Bhdim_(6),Bhdim_(6),E_7,E_7,Am,Am,Am,Am,Gm_7,Gm_7,C_7,C_7,F,F,F,F,Em,Em,Am,Am,Dm_7,Dm_7,Dm_7,Dm_7,G,G,G,G,C
Shostakovich Waltz Verse,Am_(M7),Am_(M7)/E,Am_(M7),Am_(M7)/E,Am_(M7),Am_(M7)/E,E_b9/B,E_b9,E_b9/B,E_b9,E_7/B,E_7,E/B,E,Am_(M7),Am_(M7)/E,Am_(M7),Am_(M7)/E,Dm,Dm,G_7,G_7,C,F_M9,E_7_s4,E_7_s4,E_7,E_7,Am_(M7),Am_(M7),Am_(M7),Am_(M7),Am
Shostakovich Waltz Chrus 1,C,C/G,C,C/G,G_7/D,G_7,C,C/G,A_b13,A_7,Dm_7,F_6,C,G_7,C,C/G,C,C/G,C,C/G,G_7/D,G_7,C,C/G,C,C_7/Bb,F/A,Fm/Ab,G_v46,G_7,C,C,C
Je Te Veux Verse,C_2,C/G,C_M7,C_6/G,C_M7,C_6/G,G_7/D,G_7,G_7/D,G_7,G_9/D,G_9,G_7/D,G_7,C,G_6/B,Am_s4,C/G,C_M7,C_6/G,C_M7,C_6/G,Dm_7,Dm_7,G_9,G_7/F,C/E,F#hdim,G_v46,G_7,C,C,C
Circle of 5th,F,F,G_7,G_7,Em,Em,Am,Am,Dm_7,Dm_7,G_7,G_7,C,C,Gm_7,C_7,F,F,G_7,G_7,Em,Em,Am,Am,Dm_7,Dm_7,G_7,G_7,C_s4,C_s4,C,C,C
The Entertainer Verse 1,C,C,C_7/G,C_7/G,F,F,C/E,C/E,G_v46,G_v46,G_7,G_7,C,C,C,G,C,C,C_7/G,C_7/G,F,F,C/E,Cm/Eb,D_7,D_7,D_7,D_7,G_7,G_7,G_7_s2/2,G_7/B,C
The Entertainer Verse 2,C,C,C_7/G,C_7/G,F,F,C/E,C/E,G_v46,G_v46,G_7,G_7,C,C,C,G,C,C,C_7/Bb,C_7/Bb,F/A,F/A,Fm/Ab,Fm/Ab,G_v46,G_v46,G_7,G_7,C,C/G,C,C,C
The Entertainer Chorus 1,C,C,C/G,C/G,C,C,C/G,C/G,F,F,Fm,Fm,C,C,C/G,C/G,C,C,C/G,C/G,C,C,C/E,Cm/Eb,D_v46,D_v46,D_7,D_7,G,G_7/F,G_6/E,G_7/D,C
Saint Tail Chorus,Em_7,Em_7,Em_7,Em_7,A_9_s4,A_9_s4,A_7,A_7/C#,Dm_7,Dm_7,Dm_7,Dm_7,G_9,G_9,G_7,G_7/F,Em_7,Em_7,Em_7,Em_7,A_9_s4,A_9_s4,A_7,A_7,Dhdim,Dhdim,G_(b9),G_(b9),C,C,C,C,C
The Entertainer Chorus 2,C,C,C/G,C/G,C,C,C/G,C/G,F,F,Fm,Fm,C/E,C/E,C_7,C_7,F,F,F#dim,F#dim,G_s4,G_s4,G_s4,G_s4,D_7,D_7,G_7,G_7,C,C/G,C/E,G_7/D,C
The Entertainer Chorus 3,C,C,C/G,C/G,C,C,C/G,C/G,F,F,Fm,Fm,C/E,C/E,C_7,C_7,F,F,F#dim,F#dim,G_s4,G_s4,G_s4,G_s4,D_7,D_7,G_7,G_7,C,C/G,C,C,C
Pathetique 3rd Verse,Am_(M7),Am_(M7),Am_M7_s4,Am_M7_s4,Am_(M7),Am_(M7),Am_(M7),Am_(M7),Am_(M7),Am_(M7),E/G#,F_M7,E,E,E,E,G#dim/D,G#dim/D,G#dim/D,G#dim/D,Am_(M7)/C,Am_(M7)/C,F_Gr,F_Gr,E_v4b6,E_v4b6,E_7,E_7,Am_(M7),Am_(M7),Am_(M7),Am_(M7),Am
Saint Tail Verse,C,C/G,C,C,Gm_7,Gm_7,C_7,C_7,F_M7,F_M7/C,F,F/C,Fm,Fm,Bb_7,Bb_7,C,C,Em,Em,Dm,Dm,G_v46,G_7,C,C/G,C,C,Dm,Dm,G,G,C
Pathetique 2nd Verse,C,C,G_7/F,G_7/F,C/E,C/E,G_7/B,G_7/B,C,G/B,Am,D_7/A,G,G,G,G,G_7/F,G_7/F,G_7/F,G_7/F,C/E,C/E,A_7,A_7,Dm,Dm,G_7,G_7,C_M7_s4,C_M7_s4,C,C,C
Let It Go Verse,Am,Am,Am,Am,F,F,F,F,G,G,G,G,Dm_s4,Dm_s4,Dm,Dm,Am,Am,Am,Am,F,F,F,F,G,G,G,G,D_s4,D_s4,D,D,Am
Let It Go Chorus,C,C,C,C,G,G,G,G,Am,Am,Am,Am,F,F,F,F,Em,Em,Em,Em,Eb,Eb,Eb,Eb,F,F,F,F,F,F,F,F,C
Flower Dance Verse,F_M7,F_M7,G,G,E_7,E_7,Am,Am,F,F,G,G,Am,Am,Am,Am,F_M7,F_M7,G,G,E_7,E_7,Am,Am,F,F,G,G,A_(9),A_(9),A_(9),A_(9),Am
Flower Dance Chorus,Am,Am,Em_(9),Em_(9),F,F,C,C,Dm,Dm,Am,Am,F,F,E_7,E_7,Am,Am,Em,Em,F,F,C,C,Dm,Dm,Am,Am,F,E_7,Am,Am,Am
Time to Love,F_M9,F_M9,G_2_v46,G_2_v46,Am_7,Am_7,C,C,F_M9,F_M9,G_6,G_6,Am,Am,C,C,F_M9,F_M9,G_2_v46,G_2_v46,Am_7,Am_7,C,C,F_M9,F_M9,G_6,G_6,Am,Am,C,C,F
Senbonzakura Verse,Am,Am,Am,Am,F,F,G,G,Am,Am,Am,Am,F_M7,F_M7,G/D,G,Am,Am,Am,Am,F,F,G_9_s4,G,Am,Am,Am,Am,F_M7,F_M7,G/D,G,Am
Senbonzakura Pre-chorus,F,F,F,F,C,C,C,C,F,F,G,G,Am,Am,Am/E,Am,F,F,F,F,C,C,C,C,D_7,D_7,D_7,D_7,E,E,E,E,Am
Senbonzakura Chorus,Am,Am,F_M7,F_M7,G,G,C,C,Am,Am,F_M7,F_M7,G,G,C,C,Am,Am,F_M7,F_M7,G,G,C,C,F,F_M7,Em,Em,F_M7,G,Am,Am,Am
"Titanic
Verse",C,C,C,C,G_s4,G_s4,G_s4,G_s4,F_2,F_2,F_2,F_2,G_v46,G_v46,G,G,C,C,C,C,G_s4,G_s4,G_s4,G_s4,F_2,F_2,F_2,F_2,F_2,F_2,F_2,G,C
Titanic Chorus,Am,Am,Am,Am,G,G,G,G,F_2,F_2,F_2,F_2,G,G,G,G,Am,Am,Am,Am,G,G,G,G,F_2,F_2,F_2,F_2,F_2,F_2,G,G,C
The Way to School Verse,C,C,G_7/D,G_7/D,C/E,C/E,C,C,F,F,C/E,C/E,Dm_7,Dm_7,G,G_7/F,Em,Em,Am,Am,Dm_7,F,G,G_7/F,Em,Em,Am,Am,D_s4,D_7,G_9_s4,G,C
The Way to School Chorus 1,C,C,C,C,G_7/D,G_7/D,G_7/D,G_7/D,C/E,C/E,C/E,C/E,F,F,F,F,D_7/F#,D_7/F#,D_7/F#,D_7/F#,G_v46,G_v46,Am_7,Am_7,D_9_s4,D_9_s4,D_7,D_7,G_s4,G_s4,G,G,C
The Way to School Chorus 2,C,C,C,C,G_7/D,G_7/D,G_7/D,G_7/D,C/E,C/E,C/E,C_7/E,F,F,F,F,D_7/F#,D_7/F#,D_7/F#,D_7/F#,G_v46,G_v46,Am_7,Am_7,Dm_9_s4,Dm_9_s4,G,G,C,C/G,C,C,C
Summer Verse 1,Am,Am,F,F,G,G,C,C,Am,Am,F,F,G,G,C,C,G,G,F_M9,F_M7,Em,Em,Am_7,Am,D_9,D_9,F_M7,F_6,G_9_s4,G_9_s4,G,G,Am
Summer Verse 2,Am,Am,F,F,G,G,C,C,Am,Am,F,F,G,G,C,C,G,G,F_M9,F_M7,Em,Em,Am_7,Am,D_9,D_9,G_13,G_13,C,C,C,C,Am
